,text,user
98,RT @CynthiaEOwens1: @realDonaldTrump Anonymous sources like this? #trumpisapathologicalliar #TrumpIsACompulsiveLiar #TrumpIsNuts https://t.…,SGCAway
99,RT @SparosePrime: @realDonaldTrump Donald Trump’s approval rating is still lower than any president in the history of this country! We hate…,WealDonoodTwump
100,@realdonaldtrump @themaralagoclub @realtorvalentina @donaldjtrumpjr.2024 @donaldjtrumpjr @donald.j.trump_2024 @ Mar… https://t.co/EXtah7tE1F,VillaVRestate
101,RT @SparosePrime: @realDonaldTrump Good news on Covid Relief Bill: #crybabyTrump caved again as usual! Information on Trump’s pathetic weak…,SparosePrime
102,RT @Tentoads4truth: @realDonaldTrump @TuckerCarlson Charles Koch Continues to Bankroll the Tucker Carlson-Founded Daily Caller Two of Charl…,DishNPJ
103,RT @Tentoads4truth: @realDonaldTrump @TuckerCarlson Charles Koch Continues to Bankroll the Tucker Carlson-Founded Daily Caller Two of Charl…,FrackHazReveal
104,@realDonaldTrump @POTUS We know it's a long walk. #youtryandfail,youtryandfail
105,@realDonaldTrump you KNOW that's the wrong thing to do #potus,Cutitout11
106,RT @Tentoads4truth: @realDonaldTrump @TuckerCarlson Charles Koch Continues to Bankroll the Tucker Carlson-Founded Daily Caller Two of Charl…,jbinia
107,RT @Tentoads4truth: @realDonaldTrump @TuckerCarlson Charles Koch Continues to Bankroll the Tucker Carlson-Founded Daily Caller Two of Charl…,Stlhd100
108,RT @Tentoads4truth: @realDonaldTrump @TuckerCarlson Charles Koch Continues to Bankroll the Tucker Carlson-Founded Daily Caller Two of Charl…,Jkatian
109,@realdonaldtrump https://t.co/hQ0bK1LMkb,tanukielodojin
110,@RealDonaldTrump gets fussy if he doesn't take a nap in the afternoon https://t.co/LGqheRArH0,LibelTrump
111,RT @Tentoads4truth: @realDonaldTrump @TuckerCarlson Charles Koch Continues to Bankroll the Tucker Carlson-Founded Daily Caller Two of Charl…,WilmaVanSant
112,RT @Tentoads4truth: @realDonaldTrump @TuckerCarlson Charles Koch Continues to Bankroll the Tucker Carlson-Founded Daily Caller Two of Charl…,julie_jewelles
113,RT @Tentoads4truth: @realDonaldTrump @TuckerCarlson Charles Koch Continues to Bankroll the Tucker Carlson-Founded Daily Caller Two of Charl…,Tentoads4truth
114,@realdonaldtrump 46FB8995 :参戦ID 参加者募集！ Lv150 フロネシス https://t.co/L4znZs3pvE,Clausewitz2015
115,RT @Orwell_2012: @realDonaldTrump A CONCISE GUIDE TO DJT INSULTS   1) @realdonaldtrump insults EVERYONE who disrespects or insults him  2)…,Luis23155502
116,@realDonaldTrump @POTUS Is America great yet?,IsItGreatYetBot
117,RT @Tentoads4truth: @realDonaldTrump @TuckerCarlson Charles Koch Continues to Bankroll the Tucker Carlson-Founded Daily Caller Two of Charl…,magsmom7
